slug	name	location	stream_url	report_url	area	lon	lat
bournemouth	Bournemouth	Bournemouth, Dorset, England, United Kingdom	https://cams.cdn-surfline.com/cdn-int/uk-bournnemouth/playlist.m3u8	https://www.surfline.com/surf-report/bournemouth/584204214e65fad6a7709cf4	Dorset, England	-1.877	50.713
bournemouth-east	Bournemouth East	Bournemouth, Dorset, England, United Kingdom	https://cams.cdn-surfline.com/cdn-int/uk-bournemoutheast/playlist.m3u8	https://www.surfline.com/surf-report/bournemouth-east/5a26f3921d8788001b7967a0	Dorset, England	-1.873619556427002	50.71616175708627
brighton-west-pier	Brighton West Pier	Brighton, England, United Kingdom	https://cams.cdn-surfline.com/cdn-int/uk-brightonpier/playlist.m3u8	https://www.surfline.com/surf-report/brighton-west-pier/5b0d97856f349c001a3b7cab	England, United Kingdom	-0.14550161121610472	50.819304496632945
bude	Bude	Bude, Cornwall, England, United Kingdom	https://cams.cdn-surfline.com/cdn-int/uk-budecrooklets/playlist.m3u8	https://www.surfline.com/surf-report/bude/5842041f4e65fad6a7708ca5	Cornwall, England	-4.556111111	50.83333333
bude-crooklets-	Bude Summerleaze 	Bude, Cornwall, England, United Kingdom	https://cams.cdn-surfline.com/cdn-int/uk-budecrooklets/playlist.m3u8	https://www.surfline.com/surf-report/bude-crooklets-/5a282eb11d8788001b7967a1	Cornwall, England	-4.557802677154541	50.83556782267566
c-st-	C St.	Ventura, Ventura County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cstreet/playlist.m3u8	https://www.surfline.com/surf-report/c-st-/5842041f4e65fad6a7708828	Ventura County, California	-119.2997646331	34.272041739333
c-st-overview	C St. Overview	Ventura, Ventura County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cstreetov/playlist.m3u8	https://www.surfline.com/surf-report/c-st-overview/584204214e65fad6a7709cfd	Ventura County, California	-119.29970026016235	34.27252050317614
c-street-wrightsville-beach	C Street, Wrightsville Beach	Wrightsville Beach, New Hanover County, North Carolina, United States	https://cams.cdn-surfline.com/cdn-ec/ec-wrightsville/playlist.m3u8	https://www.surfline.com/surf-report/c-street-wrightsville-beach/5842041f4e65fad6a7708a65	New Hanover County, North Carolina	-77.79292858684019	34.20859853336924
cabedelo	Cabedelo	Buarcos, Figueira da Foz Municipality, Coimbra, Portugal	https://cams.cdn-surfline.com/cdn-int/pt-cabedelo/playlist.m3u8	https://www.surfline.com/surf-report/cabedelo/5842041f4e65fad6a7708bc5	Figueira da Foz Municipality, Coimbra	-8.870444228917364	40.13063921100635
campus-point	Campus Point	Isla Vista, Santa Barbara County, California, United States	https://cams.cdn-surfline.com/cdn-wc/wc-campuspt/playlist.m3u8	https://www.surfline.com/surf-report/campus-point/5842041f4e65fad6a770896c	Santa Barbara County, California	-119.843173275373	34.405117655616
canggu	Canggu	Seminyak town, Bali, Bali, Indonesia	https://cams.cdn-surfline.com/cdn-int/id-canggu/playlist.m3u8	https://www.surfline.com/surf-report/canggu/5842041f4e65fad6a7708d40	Bali, Bali	115.125	-8.665
cannon-beach	Cannon Beach	Cannon Beach, Clatsop County, Oregon, United States	https://cams.cdn-surfline.com/cdn-wc/wc-cannonbeach/playlist.m3u8	https://www.surfline.com/surf-report/cannon-beach/5842041f4e65fad6a77089b8	Clatsop County, Oregon	-123.9668117231721	45.88179930310263
